Wbox_SKU,Reference,Description,Value,KiCad Footprint,Datasheet,Package,MF_Name,MF_PN,S1_Name,S1_PN,Qty,Verified_FP
14,U, IC REG LDO 3.3V 1A DPAK ,NCP1117,,http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF,DPAK,ON Semi, NCP1117DT33G ,Digikey,NCP1117DT33GOS-ND,4,No
15,U, IC REG LDO 3.3V 0.8A SOT223 ,LM1117,,http://www.ti.com/lit/ds/symlink/lm1117.pdf,TO-261-4,ON Semi, LM1117IMP-3.3/NOPB ,Digikey, LM1117IMP-3.3/NOPBCT-ND ,4,No
16,U,QUECTEL UC15 3G CELL MODULE,UC15,,http://www.orcam.eu/res/Datablad/quectel_uc15_umtshsdpa_specification_v14.pdf,UC15PKG,Quectel,UC15,,,1,No
17,J, CONN SIM/SAM CARD HINGED TYPE ,C707SIM,,http://www.amphenol.info/downloads/C707_10M006_500_2.pdf,C707SIM,Amphenol, C707 10M006 5002 ,Digikey, 361-1020-1-ND ,2,No
18,NE, LAMP NEON 6.2MM WIRE TERMINAL ,A9A,,http://vcclite.com/_pdf/Neon%20Indicator%20Lamps_7_&_8.pdf,TH-LAMPA9A,Visual Comm,A9A,Digikey,A9A-ND,9,No
19,AN, ANTENNA CALVUS 824-960MHZ SMD ,A10340,,http://media.digikey.com/PDF/Data%20Sheets/Antenova/A10340.pdf,A10340,Antenova,A10340,Digikey, 627-1022-1-ND ,1,No
20,MIC, RECEIVER 100HZ-9.5KHZ ,SR6438,,http://www.knowles.com/download/file?p=SR6438NWS-000.pdf,SR6438,Knowles, SR6438NWS-000 ,Digikey, 423-1142-ND ,2,No
21,U, IC AUDIO PWR AMP LOW VOLT 8-DIP ,NJM386,,http://semicon.njr.co.jp/eng/PDF/NJM386_E.pdf,DIP8,NJR, NJM386D ,Digikey, NJM386D-ND ,9,No
22,MIC, MIC COND ANALOG OMNI -44DB ,CMA4544,,http://www.cui.com/product/resource/digikeypdf/cma-4544pf-w.pdf,MIC-CMA4544,CUI, CMA-4544PF-W ,Digikey, 102-1721-ND ,4,No
23,U, IC OPAMP VFB 200MHZ RRO SOT23-5 , OPA356AIDBVR ,,http://www.ti.com/lit/ds/symlink/opa356.pdf,SOT23-5,TI, OPA356AIDBVR ,Digikey, 296-32191-1-ND ,4,No
24,U, IC OPAMP GP 1MHZ DIP8 ,LM358,,http://www.onsemi.com/pub_link/Collateral/LM358-D.PDF,DIP8,ON Semi,LM358NG,Digikey, LM358NGOS-ND ,9,No
25,U, IC OPAMP AUDIO 70MHZ DIP8 ,LT1115,,http://www.linear.com/docs/1612,DIP8,Linear, LT1115CN8#PBF ,Digikey, LT1115CN8#PBF-ND ,4,No
